sym,date,hour,dow,dir,R,win,trend,stack,atr_pct,atr_exp,atr_rank,range_pct,dir_with_trend
ASXAUD,2021-09-01,8,2,1,-1.029084309333388,0,1,-1,0.00209377317089002,1,0.6330645161290323,0.007787271929941178,1
ASXAUD,2021-09-06,9,0,1,1.0109271113378533,0,1,-1,0.002528172356381785,1,0.8507936507936508,0.01016665337692369,1
ASXAUD,2021-09-09,8,3,-1,-1.0260221585895324,0,-1,-1,0.003220067659571853,1,0.9842105263157894,0.016027210884353767,1
ASXAUD,2021-09-14,8,1,1,-1.0261797286328889,0,1,-1,0.0031122347957543554,1,0.9730941704035875,0.007041496452375906,1
ASXAUD,2021-09-21,8,1,1,0.3729762490548588,0,1,-1,0.004204234579705036,1,0.988,0.014648236022281824,1
ASXAUD,2021-09-28,8,1,-1,3.4724229611431916,1,-1,-1,0.0025863827187508908,1,0.696,0.009508106622698518,1
ASXAUD,2021-09-30,9,3,1,-1.0311627254299487,0,1,-1,0.0035100160103292435,1,0.906,0.013719012777110406,1
ASXAUD,2021-10-07,9,3,1,-1.0442332907036749,0,1,-1,0.003248916718889301,0,0.706,0.006534239414532149,1
ASXAUD,2021-11-04,9,3,1,0.41729144273620605,0,1,1,0.0018965761641804328,0,0.314,0.0037126715092817278,1
ASXAUD,2021-11-09,8,1,-1,-1.037345940653868,0,-1,1,0.0021019489808535106,1,0.566,0.004911855739469789,1
ASXAUD,2021-11-30,9,1,-1,-1.0377537676324096,0,-1,-1,0.004560860610863727,1,0.996,0.009752699407871821,1
ASXAUD,2021-12-06,8,0,1,-1.0309786956082276,0,1,-1,0.003588339072394689,0,0.864,0.007134396606341098,1
ASXAUD,2022-01-04,8,1,1,-0.21153642687661833,0,1,1,0.0036289554644650945,1,0.868,0.012067156348373556,1
ASXAUD,2022-01-19,8,2,-1,-1.032251124926854,0,-1,-1,0.0033450648464187992,1,0.862,0.008462642696014716,1
ASXAUD,2022-02-16,9,2,1,-1.0438564006099371,0,1,1,0.0033747989084247395,0,0.476,0.01059284193171675,1
ASXAUD,2022-02-21,9,0,1,-1.0423437454721072,0,1,1,0.003531648243734882,1,0.494,0.013938724813690313,1
ASXAUD,2022-03-08,8,1,-1,-1.0249565650377992,0,-1,-1,0.0045421180079163,0,0.742,0.010469251950435979,1
ASXAUD,2022-03-14,9,0,1,-1.0466198805003692,0,1,1,0.003077284145792085,0,0.16,0.009863503639437301,1
ASXAUD,2022-03-16,9,2,1,3.4554829066840567,1,1,1,0.0033265156976391964,0,0.212,0.008385715080380511,1
ASXAUD,2022-03-21,9,0,-1,-1.048449612991925,0,-1,1,0.0028303629303624476,0,0.102,0.01017615753791994,1
ASXAUD,2022-03-23,9,2,1,-1.0631319937278545,0,1,1,0.0018398268899357238,0,0.004,0.003911060587606477,1
ASXAUD,2022-04-13,8,2,1,-1.029307615725318,0,1,1,0.002257904591991164,0,0.356,0.003046458492003071,1
ASXAUD,2022-04-28,8,3,1,3.472397484267916,1,1,-1,0.0028161325444641928,0,0.826,0.004399406148272271,1
ASXAUD,2022-05-04,8,2,-1,3.471718868277886,1,-1,-1,0.0025958266896836356,0,0.552,0.008929916590196242,1
ASXAUD,2022-05-12,8,3,-1,1.4202409007465489,0,-1,-1,0.004491573894263766,0,0.898,0.011429229462653559,1
ASXAUD,2022-05-24,9,1,-1,-1.0341214649316297,0,-1,1,0.0029806039789140857,0,0.284,0.005235455119657545,1
ASXAUD,2022-05-26,9,3,-1,-1.0336287347013662,0,-1,1,0.0029457213119817483,0,0.242,0.009669927510732737,1
ASXAUD,2022-05-30,9,0,1,-1.037782910553211,0,1,1,0.00220655228253945,0,0.058,0.006543209876543185,1
ASXAUD,2022-05-31,9,1,-1,-1.0383620926525796,0,-1,1,0.0021525318183393195,1,0.078,0.006672863227113113,1
ASXAUD,2022-06-09,9,3,-1,-1.0293059209780173,0,-1,-1,0.002399717270546318,0,0.238,0.008646969999145248,1
ASXAUD,2022-06-15,8,2,-1,0.2941808429801294,0,-1,-1,0.005011327283423475,0,0.936,0.011122223232415013,1
ASXAUD,2022-06-16,8,3,-1,3.4752866493623826,1,-1,-1,0.005050359205971871,1,0.93,0.014350510459489443,1
ASXAUD,2022-06-28,9,1,1,-1.0287836069223224,0,1,1,0.0026486350212706036,0,0.348,0.009208293366782208,1
ASXAUD,2022-06-29,8,2,1,-1.0267764743447927,0,1,1,0.003452972285033687,1,0.662,0.00713309160078464,1
ASXAUD,2022-06-30,8,3,-1,3.473098823100804,1,-1,1,0.0034216570414135317,1,0.614,0.010190217391304348,1
ASXAUD,2022-07-07,9,3,1,3.46590958331508,1,1,-1,0.0030505801536983928,0,0.322,0.007381904561445766,1
ASXAUD,2022-07-11,8,0,-1,-1.026972265720221,0,-1,1,0.003404522159289357,1,0.46,0.013460375075620085,1
ASXAUD,2022-07-12,8,1,-1,-1.0294652046066477,0,-1,1,0.002508902675184735,0,0.06,0.006157709997579388,1
ASXAUD,2022-07-13,9,2,1,-1.0363470260209555,0,1,-1,0.002636764780987261,0,0.134,0.005129675170863445,1
ASXAUD,2022-07-18,8,0,1,0.041859414444487514,0,1,-1,0.003424333005181108,1,0.544,0.00959365411958398,1
ASXAUD,2022-07-21,8,3,1,-1.0277201910524496,0,1,1,0.00300523964525447,1,0.436,0.00471204959432198,1
ASXAUD,2022-07-27,8,2,1,1.0874820809127823,0,1,1,0.0026240229238302147,1,0.286,0.006732922527480569,1
ASXAUD,2022-08-01,9,0,1,-1.029642040578139,0,1,1,0.002328206225102051,0,0.196,0.005994775980930902,1
ASXAUD,2022-08-02,8,1,1,-1.0273176922148564,0,1,1,0.0030650966566648044,1,0.692,0.007348639431514961,1
ASXAUD,2022-08-08,8,0,1,-1.0301448551949286,0,1,1,0.002205125827257271,1,0.214,0.005403483825097761,1
ASXAUD,2022-08-10,9,2,-1,-1.030866837542385,0,-1,1,0.002066414937327833,1,0.172,0.0061520852707632875,1
ASXAUD,2022-08-17,8,2,1,-1.0303091491468974,0,1,1,0.002140126104623908,1,0.404,0.006029587043399004,1
ASXAUD,2022-08-18,8,3,1,-1.0307572492991297,0,1,1,0.002056029441888549,1,0.328,0.004917802444850359,1
ASXAUD,2022-08-23,8,1,-1,-1.029951394092008,0,-1,-1,0.0022631371545062937,1,0.62,0.006485214571645813,1
ASXAUD,2022-08-25,9,3,1,-1.0318959339298883,0,1,-1,0.0018748202106979748,0,0.166,0.007154089164034057,1
ASXAUD,2022-08-30,8,1,1,-1.030083898349269,0,1,-1,0.0022218084612350125,0,0.582,0.004773779836123976,1
ASXAUD,2022-09-06,8,1,-1,-1.0307745537200796,0,-1,-1,0.0021303867853052294,0,0.382,0.005913435501105057,1
ASXAUD,2022-09-08,9,3,1,-1.0276155957662385,0,1,-1,0.0030184386578341305,1,0.872,0.015472193840315283,1
ASXAUD,2022-09-19,9,0,-1,-1.0287764523820404,0,-1,-1,0.0026632536631861887,0,0.526,0.005812220566318927,1
ASXAUD,2022-09-21,9,2,-1,-1.0294887524145173,0,-1,-1,0.002476035110784237,0,0.344,0.00792641890376131,1
ASXAUD,2022-10-11,8,1,-1,-1.0272647550325509,0,-1,1,0.00325569750637451,0,0.438,0.009191591953589994,1
ASXAUD,2022-10-13,9,3,-1,-1.051217692345362,0,-1,-1,0.002760256117575487,0,0.176,0.006866369878518071,1
ASXAUD,2022-10-18,9,1,1,-1.0482114581174264,0,1,1,0.002987491814846756,0,0.25,0.007801575034959888,1
ASXAUD,2022-11-01,8,1,1,3.473020878449296,1,1,1,0.003237402879080983,1,0.528,0.015064562410329985,1
ASXAUD,2022-11-15,8,1,1,3.469089195580032,1,1,1,0.0020172980849884397,0,0.032,0.004086487999440309,1
ASXAUD,2022-11-17,9,3,1,-1.0554190296843202,0,1,1,0.002203581043464986,0,0.13,0.005830536912751653,1
ASXAUD,2022-11-30,8,2,1,-1.0286194851007018,0,1,1,0.0025047906618330656,1,0.656,0.009806875770442454,1
ASXAUD,2022-12-06,9,1,-1,-1.0541018691896673,0,-1,1,0.002300044967902884,1,0.594,0.005264025949036557,1
ASXAUD,2023-01-19,8,3,1,-1.0303060610086785,0,1,1,0.00204858466366476,1,0.488,0.008325500201423391,1
ASXAUD,2023-02-23,9,3,-1,-1.0657389872673133,0,-1,-1,0.001673432900656933,0,0.172,0.0031610340704498288,1
