sym,date,hour,dow,dir,R,win,trend,stack,atr_pct,atr_exp,atr_rank,range_pct,dir_with_trend
AUDNZD,2022-05-30,9,0,1,0.4717602219397523,0,1,1,0.0014305204878895252,0,0.5,0.003017292458592124,1
AUDNZD,2022-06-09,9,3,-1,-1.0379734891035723,0,-1,1,0.0007830391656718559,0,0.06965174129353234,0.0028487980229161044,1
AUDNZD,2022-06-28,8,1,1,3.4709194097616343,1,1,-1,0.0012064573897781444,1,0.614,0.004304199772985415,1
AUDNZD,2022-06-30,8,3,1,-1.0290197351805752,0,1,1,0.0010893225392818106,0,0.422,0.003869466392466631,1
AUDNZD,2022-07-11,8,0,-1,3.470950226244344,1,-1,1,0.0008118224990507364,0,0.002,0.002325791855203585,1
AUDNZD,2022-07-18,8,0,1,1.9166340576102243,0,1,-1,0.0014145097224480972,1,0.926,0.004941131754463778,1
AUDNZD,2022-07-19,8,1,1,-1.0560617015713887,0,1,1,0.0009340077780872381,0,0.106,0.0025784116623543646,1
AUDNZD,2022-07-21,8,3,1,1.63153511542702,0,1,1,0.0009634066922116697,0,0.148,0.002788657653917691,1
AUDNZD,2022-07-25,9,0,1,1.16151071025929,0,1,1,0.001020527895172156,0,0.322,0.002525366403607789,1
AUDNZD,2022-08-02,8,1,-1,-1.0463228513554552,0,-1,-1,0.0014748530397941148,1,0.992,0.005928800007252347,1
AUDNZD,2022-08-08,8,0,1,-1.029000738060521,0,1,-1,0.0013302847535339001,1,0.896,0.004203344674263447,1
AUDNZD,2022-08-10,8,2,-1,-1.0290448625180897,0,-1,1,0.0008834214450869986,0,0.116,0.001917510853835132,1
AUDNZD,2022-08-25,9,3,1,-1.0289355922510544,0,1,1,0.0008083025835522501,0,0.068,0.002805775966831209,1
AUDNZD,2022-08-30,9,1,1,-1.028911305773635,0,1,1,0.001003558370669456,1,0.448,0.0018000837662743908,1
AUDNZD,2022-08-31,9,2,1,-1.0289141655003966,0,1,1,0.0011146509207527711,1,0.664,0.00318235708364168,1
AUDNZD,2022-09-01,9,3,1,-1.0289261008113826,0,1,1,0.0012293804625101194,1,0.866,0.00289205666288787,1
AUDNZD,2022-09-14,9,2,-1,-1.0289206066012488,0,-1,1,0.0010837194968559795,1,0.65,0.0019357716324710128,1
AUDNZD,2022-10-12,9,2,-1,0.8017293830778207,0,-1,-1,0.0012280824967899908,0,0.394,0.0029475075697354214,1
AUDNZD,2022-10-18,8,1,-1,-1.0277867931836484,0,-1,-1,0.0016540816815234984,1,0.744,0.00718937740172095,1
AUDNZD,2022-10-24,9,0,-1,-1.0290633072007975,0,-1,-1,0.001347784287791717,1,0.4,0.003371550278696647,1
AUDNZD,2022-10-27,9,3,-1,-1.028689208394916,0,-1,-1,0.0014803222160888042,1,0.622,0.004227167437290882,1
AUDNZD,2022-10-31,8,0,-1,-1.047241275981367,0,-1,-1,0.0012605210099249644,0,0.284,0.0037229743841201454,1
AUDNZD,2022-11-01,9,1,-1,0.8068348632353715,0,-1,-1,0.0017483773144071327,1,0.87,0.005136767577234014,1
AUDNZD,2022-11-02,8,2,-1,-1.0291521452628496,0,-1,-1,0.0013118803915703914,0,0.378,0.00237955776834084,1
AUDNZD,2022-11-09,9,2,1,-1.029139180581069,0,1,-1,0.0009164920424442564,0,0.034,0.0026777799102531345,1
AUDNZD,2022-11-22,8,1,-1,-1.0292585734390045,0,-1,-1,0.0011628252106604257,1,0.236,0.003083104955188556,1
AUDNZD,2022-12-06,8,1,1,-1.0702455033201597,0,1,-1,0.001870057926731646,1,0.982,0.0076344479815195375,1
AUDNZD,2022-12-07,9,2,-1,3.4043470202182586,1,-1,-1,0.001265000728972854,0,0.504,0.0029977493238513937,1
AUDNZD,2022-12-14,9,2,1,0.44073416578906355,0,1,-1,0.0010397269958546849,0,0.19,0.003516624040920788,1
AUDNZD,2022-12-20,9,1,-1,-1.072371219213799,0,-1,-1,0.001554792386713199,1,0.88,0.005024982155603094,1
AUDNZD,2022-12-21,8,2,1,3.3909206494499937,1,1,-1,0.0015166508465323857,1,0.826,0.00570818330450894,1
AUDNZD,2022-12-27,9,1,1,-1.0906290925208466,0,1,1,0.0016969395370039823,0,0.91,0.006683320594321619,1
AUDNZD,2022-12-29,8,3,-1,-1.076246274119276,0,-1,1,0.0014331356521971289,0,0.572,0.005156433780286925,1
AUDNZD,2023-01-02,8,0,1,-1.3361085181948344,0,1,1,0.0012574915854620954,0,0.324,0.0036166533405234116,1
AUDNZD,2023-01-03,9,1,1,-1.084047801807792,0,1,1,0.0020743026594680944,1,0.934,0.004130122047426855,1
AUDNZD,2023-01-10,9,1,-1,-0.5187577238175147,0,-1,1,0.0010810662228335254,0,0.084,0.0026508049395486503,1
AUDNZD,2023-01-17,9,1,-1,0.9634106888470524,0,-1,1,0.0010818971126892929,0,0.064,0.0031524286567711246,1
AUDNZD,2023-01-25,8,2,1,-1.0338914592554955,0,1,1,0.001877772906157214,1,0.896,0.012273689589721094,1
AUDNZD,2023-02-14,8,1,1,2.17278292358927,0,1,1,0.0010773019344384434,1,0.308,0.0044947500591416,1
AUDNZD,2023-02-20,8,0,1,-0.3998636108750312,0,1,1,0.0011021603382989776,1,0.456,0.005924063455311809,1
AUDNZD,2023-02-21,8,1,1,-1.02,0,1,1,0.0010750394752171918,1,0.418,0.0027738123204251322,1
AUDNZD,2023-02-22,8,2,-1,-1.02,0,-1,1,0.0019128004319543342,1,0.98,0.007093493522736457,1
AUDNZD,2023-03-01,9,2,-1,3.48,1,-1,-1,0.0013494522446903248,1,0.808,0.0034669395959539945,1
AUDNZD,2023-03-07,9,1,-1,3.48,1,-1,-1,0.0014082118849600917,1,0.88,0.006222164609587004,1
AUDNZD,2023-03-09,9,3,1,-1.02,0,1,-1,0.0008673130168727669,0,0.13,0.0017215049285021935,1
AUDNZD,2023-03-13,9,0,1,-1.02,0,1,-1,0.0013872543644111977,1,0.836,0.0047601373294980775,1
AUDNZD,2023-03-15,9,2,1,-1.02,0,1,-1,0.001382499234492745,0,0.77,0.0045181142915579,1
AUDNZD,2023-03-16,9,3,1,-1.02,0,1,-1,0.0017450549894009327,1,0.94,0.005240749844632575,1
AUDNZD,2023-03-20,9,0,-1,-1.02,0,-1,-1,0.001397126484719932,0,0.698,0.004297149276787056,1
AUDNZD,2023-03-21,8,1,1,0.8338996296674728,0,1,-1,0.0012484450617682658,0,0.544,0.003378472447814748,1
AUDNZD,2023-03-23,8,3,-1,-1.02,0,-1,-1,0.001287775463421466,1,0.606,0.0032095839670083577,1
AUDNZD,2023-03-27,9,0,1,-1.02,0,1,-1,0.0010574091786511243,0,0.298,0.003438251243920345,1
AUDNZD,2023-03-30,8,3,1,-1.02,0,1,-1,0.000883806812951501,0,0.102,0.0035324520794987875,1
AUDNZD,2023-04-05,8,2,-1,-1.02,0,-1,-1,0.002120131260292219,1,0.982,0.00942080868221729,1
