sym,date,hour,dow,dir,R,win,trend,stack,atr_pct,atr_exp,atr_rank,range_pct,dir_with_trend
AUDUSD,2022-06-02,8,3,-1,-1.0424865359736706,0,-1,1,0.001773493383012056,0,0.5,0.002739343116701554,1
AUDUSD,2022-06-22,8,2,-1,-1.0293449485825918,0,-1,-1,0.002207204417193467,0,0.4254807692307692,0.008186051893205286,1
AUDUSD,2022-06-28,9,1,1,-1.032431659550945,0,1,-1,0.0016590242847008018,0,0.042,0.003211174310605609,1
AUDUSD,2022-06-29,9,2,-1,0.654387166100313,0,-1,-1,0.0021186323965516674,0,0.282,0.0033510314213596112,1
AUDUSD,2022-07-06,8,2,-1,-1.0296035366024872,0,-1,-1,0.002190404098698143,0,0.232,0.004597294668906227,1
AUDUSD,2022-07-07,8,3,1,-1.0291719788180893,0,1,-1,0.0022842503637828756,0,0.302,0.008257565775025387,1
AUDUSD,2022-07-11,8,0,-1,3.470681356609354,1,-1,-1,0.002247211345082145,0,0.236,0.005694660521912694,1
AUDUSD,2022-07-19,8,1,1,3.469050836305655,1,1,1,0.0019079757986398683,0,0.084,0.006641754006948376,1
AUDUSD,2022-07-28,9,3,1,-1.0295200965017817,0,1,1,0.0021449798865792328,0,0.35,0.003195617438940909,1
AUDUSD,2022-08-01,9,0,1,3.470401384383265,1,1,1,0.0021302958064031725,0,0.336,0.004513898808673616,1
AUDUSD,2022-08-02,8,1,-1,3.4723629500261115,1,-1,1,0.002683643711444528,1,0.772,0.00969632545177683,1
AUDUSD,2022-08-04,8,3,1,-1.031861684109519,0,1,-1,0.0017305237608683489,0,0.04,0.004049164321405912,1
AUDUSD,2022-08-11,9,3,1,3.4686202723310084,1,1,1,0.0017743928765361257,0,0.188,0.0035108497948479226,1
AUDUSD,2022-08-15,8,0,-1,3.4694887196463764,1,-1,1,0.0019165514464947664,1,0.354,0.004838004428960385,1
AUDUSD,2022-08-18,9,3,-1,-1.029254244695886,0,-1,-1,0.002228741413388612,0,0.58,0.004848607653563474,1
AUDUSD,2022-08-23,9,1,-1,-1.0321661522267624,0,-1,-1,0.0017072828803212528,0,0.138,0.004209820973357309,1
AUDUSD,2022-08-25,9,3,1,-1.0298371166866347,0,1,-1,0.002088331554463932,0,0.464,0.008882320021811071,1
AUDUSD,2022-08-31,9,2,1,-1.0296343026957337,0,1,-1,0.0021485139635118136,0,0.52,0.005714534352473718,1
AUDUSD,2022-09-06,9,1,-1,3.4700734779957823,1,-1,-1,0.0021161110806390366,0,0.43,0.006245764958901556,1
AUDUSD,2022-09-12,9,0,1,3.469598607504134,1,1,1,0.002006724640057556,0,0.236,0.0040974642383236545,1
AUDUSD,2022-09-14,9,2,-1,-1.0282654169389918,0,-1,-1,0.0025706431006129664,1,0.686,0.003675103036795626,1
AUDUSD,2022-09-19,8,0,-1,-1.030501911424232,0,-1,-1,0.0020269655621334964,0,0.206,0.005226454821031176,1
AUDUSD,2022-09-21,9,2,-1,-1.0309454263411726,0,-1,-1,0.0019559360926534653,0,0.14,0.005611487044066625,1
AUDUSD,2022-09-22,9,3,-1,-1.027722881090564,0,-1,-1,0.002802501002030835,1,0.806,0.007994771480248722,1
AUDUSD,2022-09-28,8,2,-1,-1.027858544389807,0,-1,-1,0.0028466740074457146,0,0.676,0.01008263685258659,1
AUDUSD,2022-09-29,9,3,-1,-1.027155449360472,0,-1,-1,0.0030880411802202933,0,0.78,0.00834830555727651,1
AUDUSD,2022-10-04,9,1,1,-1.0258139172973164,0,1,-1,0.003783444687985557,1,0.904,0.010301861376438914,1
AUDUSD,2022-10-10,9,0,-1,1.1856422379490628,0,-1,-1,0.0031290183886108613,1,0.596,0.009195802535572374,1
AUDUSD,2022-10-26,8,2,1,3.4712261125810047,1,1,1,0.0025432008813713143,0,0.132,0.006081017868837145,1
AUDUSD,2022-10-27,8,3,1,-1.0285930164187649,0,1,1,0.0025536143883055696,0,0.162,0.005874773752185785,1
AUDUSD,2022-11-03,9,3,-1,1.5185021677694697,0,-1,-1,0.0031019846231369755,0,0.526,0.007468945327953252,1
AUDUSD,2022-11-10,9,3,-1,-1.0299205545002124,0,-1,1,0.002243742771435843,0,0.07,0.004633529907329446,1
AUDUSD,2022-11-15,8,1,1,3.4703711503933756,1,1,1,0.002211973016907699,0,0.08,0.003754078090783258,1
AUDUSD,2022-11-16,9,2,1,-1.0261237596333836,0,1,1,0.0034467058722548517,1,0.706,0.00613668884332274,1
