sym,date,hour,dow,dir,R,win,trend,stack,atr_pct,atr_exp,atr_rank,range_pct,dir_with_trend
CUCUSD,2022-03-09,8,2,-1,-3.2320976215696535,0,-1,-1,0.009260557196145823,0,0.5,0.016295076806581762,1
CUCUSD,2022-03-16,9,2,1,-4.923254965805186,0,1,-1,0.0041717963690554045,0,0.08875739644970414,0.008354226204043023,1
CUCUSD,2022-03-30,8,2,1,-5.759458768403521,0,1,1,0.0032810796047897,0,0.1306532663316583,0.010289464139049532,1
CUCUSD,2022-04-05,8,1,1,-2.7703291299846975,1,1,1,0.002472871111520722,0,0.0020408163265306124,0.008586062083833515,1
CUCUSD,2022-04-14,8,3,1,-6.275858378268535,0,1,-1,0.002988857381823841,0,0.088,0.008646452861931372,1
CUCUSD,2022-04-25,8,0,-1,-1.4567122449603676,1,-1,-1,0.0049331683206450495,1,0.886,0.016793324359744826,1
CUCUSD,2022-04-26,9,1,-1,-5.473053333811177,0,-1,-1,0.004419530887818692,0,0.672,0.01157835508898398,1
CUCUSD,2022-04-28,8,3,-1,-5.618281116959374,0,-1,-1,0.003636862250839376,0,0.32,0.00887329943533546,1
CUCUSD,2022-05-09,8,0,-1,-0.8640125284297633,1,-1,-1,0.004054143084685418,0,0.274,0.006007442340989163,1
CUCUSD,2022-05-10,8,1,1,-4.1329436347023165,0,1,-1,0.005648043675337925,1,0.772,0.015073414557950698,1
CUCUSD,2022-05-11,8,2,1,-4.615358464308308,0,1,-1,0.0049086676076722435,0,0.494,0.01551823338928487,1
CUCUSD,2022-05-12,8,3,-1,0.31625009493684475,1,-1,-1,0.005654325394416104,0,0.684,0.018117347087166825,1
CUCUSD,2022-05-24,9,1,-1,-6.042306014955345,0,-1,1,0.003436972664274109,0,0.016,0.007105292603781992,1
CUCUSD,2022-05-25,8,2,-1,-1.7493716435424544,1,-1,1,0.003299940937330136,0,0.004,0.006086135759376989,1
CUCUSD,2022-05-26,8,3,-1,-5.063673797323539,0,-1,1,0.004332862239964601,1,0.174,0.010799274509059148,1
CUCUSD,2022-05-30,8,0,1,-6.25296895806343,0,1,1,0.0032697422275608998,0,0.012,0.007420302168372072,1
CUCUSD,2022-05-31,8,1,1,-6.964204279542046,0,1,1,0.002868238381436405,0,0.014,0.009419069185168698,1
CUCUSD,2022-06-02,8,3,1,-2.789808044964268,1,1,1,0.002738370097394084,0,0.012,0.00369353815961839,1
CUCUSD,2022-06-07,8,1,-1,-6.182642532730079,0,-1,1,0.0032607892305953436,0,0.096,0.007876044060254453,1
CUCUSD,2022-06-09,9,3,-1,-7.561751170987111,0,-1,1,0.0025620019080535334,0,0.018,0.006883795993027907,1
