sym,date,hour,dow,dir,R,win,trend,stack,atr_pct,atr_exp,atr_rank,range_pct,dir_with_trend
DAX40,2022-01-26,8,2,1,-1.02,0,1,1,0.0027963803215777143,0,0.5,0.006036975160471986,1
DAX40,2022-01-31,8,0,1,-1.02,0,1,1,0.004385113708115654,0,0.5,0.006696815213618746,1
DAX40,2022-02-01,9,1,1,-1.02,0,1,1,0.0027474342880535636,0,0.5,0.005230491390226105,1
DAX40,2022-02-03,8,3,-1,-1.02,0,-1,1,0.002081851432588883,0,0.007936507936507936,0.0025415854860669643,1
DAX40,2022-02-09,8,2,1,-1.02,0,1,-1,0.0022390934669363877,0,0.02912621359223301,0.004750052868739121,1
DAX40,2022-02-10,8,3,1,-1.02,0,1,1,0.001704187493559477,0,0.004424778761061947,0.004538364630882896,1
DAX40,2022-02-14,8,0,-1,-1.02,0,-1,-1,0.004303448610731731,1,0.6390977443609023,0.006447760246482995,1
DAX40,2022-02-16,8,2,1,-1.02,0,1,-1,0.002333950899819653,0,0.06535947712418301,0.0037216346713958392,1
DAX40,2022-02-22,9,1,-1,-1.02,0,-1,-1,0.006737162064072141,1,0.9354005167958657,0.011372694681752353,1
DAX40,2022-02-23,9,2,-1,-1.02,0,-1,-1,0.00496698646819052,0,0.6535626535626535,0.005310142985811706,1
DAX40,2022-03-01,8,1,1,-1.02,0,1,-1,0.005842684996318607,0,0.6728395061728395,0.005305724148119173,1
DAX40,2022-03-02,8,2,-1,-1.02,0,-1,-1,0.006583740420001787,0,0.714,0.008668584831854738,1
DAX40,2022-03-03,8,3,1,-1.02,0,1,-1,0.004852579852389539,0,0.454,0.007893069529409507,1
DAX40,2022-03-07,9,0,-1,-1.02,0,-1,-1,0.008898698347389135,0,0.776,0.017646252780380234,1
DAX40,2022-03-08,8,1,-1,-1.02,0,-1,-1,0.009287721727568638,0,0.756,0.01564419449117357,1
DAX40,2022-03-09,9,2,1,3.48,1,1,-1,0.011062440650830884,0,0.9,0.01816193636511546,1
DAX40,2022-03-10,8,3,1,-1.02,0,1,-1,0.006234906443720754,0,0.496,0.006431123748550287,1
DAX40,2022-03-14,8,0,1,-0.336442664273861,0,1,-1,0.008127273946406277,0,0.602,0.010511965217315915,1
DAX40,2022-03-16,8,2,1,3.48,1,1,1,0.005529940166810569,0,0.282,0.006482931367841525,1
DAX40,2022-03-17,9,3,1,-1.02,0,1,1,0.005648948499908856,0,0.276,0.0062341476990139715,1
DAX40,2022-03-21,8,0,-1,-1.02,0,-1,1,0.004114945062276578,0,0.07,0.007102859198237651,1
DAX40,2022-03-23,8,2,1,-1.02,0,1,1,0.0026367325715204192,0,0.002,0.005593121352890271,1
DAX40,2022-03-29,8,1,1,-1.02,0,1,1,0.0032716895085196963,0,0.03,0.0032533132426971678,1
DAX40,2022-04-04,8,0,1,-1.02,0,1,1,0.002978985996147831,0,0.02,0.005756980942669433,1
DAX40,2022-04-11,8,0,-1,-1.02,0,-1,-1,0.0036349370690095433,0,0.13,0.009168634914161753,1
DAX40,2022-04-13,9,2,1,-1.02,0,1,-1,0.003641437832488178,0,0.14,0.003612934304811224,1
DAX40,2022-04-14,8,3,1,-1.02,0,1,-1,0.002767819487320908,0,0.018,0.00405827255923137,1
DAX40,2022-04-21,8,3,1,-1.02,0,1,1,0.0027368646461135362,0,0.022,0.003327399470943484,1
