sym,date,hour,dow,dir,R,win,trend,stack,atr_pct,atr_exp,atr_rank,range_pct,dir_with_trend
HSIHKD,2020-01-06,9,0,-1,-10.428135483673904,0,-1,-1,0.003763845124676419,0,0.5,0.007172554212407273,1
HSIHKD,2020-01-09,9,3,1,-9.405153578352907,0,1,-1,0.00340646615051164,0,0.5,0.0047298839475393975,1
HSIHKD,2020-01-13,9,0,1,-11.04886676307552,0,1,1,0.003446360273903503,1,0.5321100917431193,0.010080519964397242,1
HSIHKD,2020-01-20,9,0,-1,-7.290382929344262,0,-1,1,0.0033272659162633033,1,0.6174863387978142,0.009372152407482478,1
HSIHKD,2020-01-21,8,1,-1,-7.580544437729536,0,-1,1,0.004703312273456549,1,0.934010152284264,0.017927378441543664,1
HSIHKD,2020-01-23,8,3,-1,-9.158364643218036,0,-1,-1,0.004414415315445108,1,0.8810572687224669,0.011060183699301377,1
HSIHKD,2020-01-30,8,3,-1,-6.07388779806322,0,-1,-1,0.005157352723548958,1,0.9307692307692308,0.017449997742561715,1
HSIHKD,2020-02-06,8,3,1,-7.278667519264213,0,1,-1,0.005856915752258309,1,0.9373134328358209,0.012133979508673886,1
HSIHKD,2020-02-12,8,2,1,-10.729649838379842,0,1,1,0.002963326925259207,0,0.23037974683544304,0.006910976701059801,1
HSIHKD,2020-03-03,9,1,-1,-6.6796755366227885,0,-1,-1,0.006722772305988602,0,0.932,0.0076824437269583665,1
HSIHKD,2020-03-05,8,3,1,-8.992814602395889,0,1,-1,0.004739879608353629,0,0.67,0.009385450482814656,1
HSIHKD,2020-03-11,8,2,-1,-6.589346317866463,0,-1,-1,0.007901499469320183,1,0.924,0.009440042008783626,1
HSIHKD,2020-03-24,9,1,1,-13.338846955924925,0,1,-1,0.016109765658855562,0,0.84,0.014619831583763726,1
HSIHKD,2020-03-30,8,0,1,-12.987090501121914,0,1,-1,0.009135557181890143,0,0.598,0.018279730740463757,1
HSIHKD,2020-04-01,9,2,-1,-13.235019238655301,0,-1,-1,0.008745692091258363,0,0.554,0.014932861019256075,1
HSIHKD,2020-04-06,8,0,1,-10.577118076022709,0,1,-1,0.009022508072817471,1,0.584,0.01930882328174218,1
HSIHKD,2020-04-07,9,1,1,-8.984078810898628,1,1,1,0.0066986351648031265,0,0.346,0.01676190476190473,1
HSIHKD,2020-04-09,9,3,1,-15.149402422360037,0,1,1,0.00587546657537646,0,0.222,0.009301730823172242,1
HSIHKD,2020-04-27,8,0,1,-17.355065877040406,0,1,1,0.004500630128934749,0,0.07,0.009615186641685026,1
HSIHKD,2020-04-28,8,1,1,-14.031794823393568,1,1,1,0.0046675823507108805,1,0.126,0.013975427729696866,1
HSIHKD,2020-05-04,8,0,-1,-10.599456034694517,0,-1,1,0.008821846961777608,1,0.616,0.008830330597413158,1
HSIHKD,2020-05-06,8,2,1,-20.15333362784123,0,1,-1,0.004352607706545681,0,0.112,0.013534046846068898,1
HSIHKD,2020-05-27,8,2,-1,-9.552533458364236,0,-1,-1,0.005035878331299322,0,0.514,0.016578934847770486,1
HSIHKD,2020-06-09,8,1,1,-9.733500736764903,0,1,1,0.004573035287469155,0,0.506,0.0142677264187292,1
HSIHKD,2020-06-11,8,3,-1,-3.843649533564245,1,-1,1,0.005508469627298975,1,0.796,0.014238436080966674,1
HSIHKD,2020-06-15,8,0,-1,-6.886257704700967,0,-1,1,0.007111998789926467,1,0.91,0.014623742421004554,1
HSIHKD,2020-06-22,9,0,-1,-9.058769040321508,0,-1,1,0.005089337724933275,0,0.55,0.008178752453420946,1
HSIHKD,2020-06-30,9,1,-1,-8.993269429334628,0,-1,1,0.005158391410519358,1,0.532,0.007211330679849053,1
HSIHKD,2020-07-02,9,3,1,-4.50755541009154,1,1,1,0.005045550889447981,1,0.522,0.017851331316369918,1
HSIHKD,2020-07-13,8,0,1,-8.345657810667284,0,1,1,0.005256578595305179,0,0.596,0.010256331460048323,1
HSIHKD,2020-07-27,8,0,-1,-9.198207164891297,0,-1,-1,0.004951214696658869,1,0.4,0.012990715100179183,1
HSIHKD,2020-08-04,8,1,1,-10.455081170869676,0,1,-1,0.004296868972724889,0,0.268,0.007538030424339442,1
HSIHKD,2020-08-11,8,1,1,-8.899502846459075,0,1,-1,0.005081482913908523,0,0.57,0.016149023621795298,1
HSIHKD,2020-08-12,9,2,1,-5.11580461455787,1,1,-1,0.004682464178446703,0,0.424,0.007644789188540842,1
HSIHKD,2020-08-17,8,0,1,-10.96117623173109,0,1,1,0.003944077256690139,0,0.226,0.014388939529679606,1
HSIHKD,2020-09-07,9,0,-1,-7.109646232782944,0,-1,-1,0.006656930095574948,1,0.974,0.014678779377945948,1
HSIHKD,2020-09-21,8,0,-1,-5.583879579450402,1,-1,-1,0.004562610672464045,1,0.632,0.019235325167602495,1
HSIHKD,2020-09-24,8,3,-1,-8.572206849815554,0,-1,-1,0.0056890065509525925,1,0.908,0.013409046912305638,1
HSIHKD,2020-09-29,8,1,-1,-12.949528433705202,0,-1,-1,0.003588670892285439,0,0.262,0.01140287584394166,1
HSIHKD,2020-09-30,9,2,-1,-8.554720298589608,0,-1,-1,0.005678616784088299,1,0.936,0.015443502413181168,1
HSIHKD,2020-10-07,8,2,1,-11.098159434764678,0,1,-1,0.0035733402829495596,0,0.334,0.012583528594983946,1
HSIHKD,2020-10-12,8,0,1,-8.362005299812605,0,1,1,0.0044964257597276515,1,0.712,0.018681777464320662,1
HSIHKD,2020-10-22,8,3,1,-9.128439486527315,0,1,1,0.003976942087147039,1,0.582,0.0078024248157536205,1
HSIHKD,2020-10-28,9,2,1,-11.350502271642402,0,1,1,0.003908139787615077,1,0.616,0.0078910828745338,1
HSIHKD,2020-11-26,9,3,1,-13.422368188671456,0,1,1,0.0027846164897045445,0,0.25,0.0038532837003484094,1
HSIHKD,2020-11-30,9,0,-1,-7.645138194768142,1,-1,1,0.0033801710976069013,1,0.488,0.007090808337071703,1
HSIHKD,2020-12-14,9,0,-1,-11.746857030374391,0,-1,-1,0.0035398184806318856,1,0.586,0.005276544053448734,1
HSIHKD,2020-12-22,8,1,-1,-10.019913812980345,0,-1,-1,0.004229767108830545,1,0.828,0.0073992979662458385,1
HSIHKD,2020-12-29,8,1,1,-14.646846090390774,0,1,-1,0.0027608624556169758,0,0.426,0.005626106336040557,1
HSIHKD,2021-01-05,8,1,1,-9.629306145784307,0,1,1,0.004242394921596136,1,0.97,0.011122716162209627,1
HSIHKD,2021-01-12,9,1,1,-6.746297443774942,0,1,1,0.004266468953593066,1,0.936,0.011750205131301768,1
HSIHKD,2021-01-14,8,3,1,-13.893111400211914,0,1,1,0.002738255546647319,0,0.47,0.005267152504971918,1
HSIHKD,2021-01-18,8,0,1,-7.365634200549218,0,1,1,0.003713912894518158,1,0.836,0.013374882318405576,1
HSIHKD,2021-01-25,9,0,1,-8.666798529928721,0,1,1,0.004358730450770712,1,0.922,0.014240938038610243,1
HSIHKD,2021-01-28,9,3,-1,-6.567779054044771,0,-1,1,0.00628339259902691,1,0.988,0.018940931163324477,1
HSIHKD,2021-02-01,8,0,1,-6.518969919282926,0,1,-1,0.0063216013060905215,1,0.976,0.01497885684750217,1
HSIHKD,2021-02-17,8,2,1,-8.281483196252418,0,1,1,0.004241848491344849,1,0.762,0.01475575344948096,1
HSIHKD,2021-02-22,9,0,-1,-7.178434957537515,0,-1,1,0.0053331488776148205,1,0.9,0.013586545605165033,1
HSIHKD,2021-03-03,8,2,1,-7.553539208749051,0,1,-1,0.005180555416471017,0,0.714,0.017410911693125187,1
HSIHKD,2021-03-15,8,0,-1,-6.7427896563312215,0,-1,-1,0.0060529627023577235,1,0.76,0.015567759177720894,1
HSIHKD,2021-03-24,8,2,-1,-8.251613586281568,0,-1,-1,0.00494899055981143,1,0.518,0.019582573484010855,1
HSIHKD,2021-04-01,9,3,1,-5.812670551174886,0,1,-1,0.0040518392372058416,1,0.276,0.008251169786096257,1
HSIHKD,2021-04-08,8,3,1,-5.5953792769587904,0,1,-1,0.005695582945974423,1,0.736,0.01929208303428472,1
HSIHKD,2021-04-20,8,1,1,-10.294400083898438,0,1,1,0.0037052176331024236,1,0.306,0.010321828438180478,1
HSIHKD,2021-05-05,9,2,-1,-7.4822038609399675,0,-1,-1,0.005442688292284001,1,0.978,0.01274911091726498,1
HSIHKD,2021-05-13,8,3,-1,-8.435521497139217,0,-1,-1,0.004826426340520267,1,0.886,0.00929993087159396,1
HSIHKD,2021-05-25,8,1,1,-9.491779981149293,0,1,1,0.0029564076469274243,1,0.3,0.012678915317753656,1
HSIHKD,2021-05-26,9,2,1,-12.671270814425718,0,1,1,0.0029424637302945837,1,0.338,0.006757889622276742,1
HSIHKD,2021-06-01,8,1,1,-7.9897936356165395,0,1,1,0.0041715507619251805,1,0.872,0.010027238678924072,1
HSIHKD,2021-06-03,8,3,-1,-8.235573709597766,1,-1,1,0.002926353653803618,0,0.388,0.008426271838259457,1
HSIHKD,2021-06-09,9,2,-1,-12.828703030441513,0,-1,-1,0.0029457419190999632,0,0.418,0.006060606060606061,1
HSIHKD,2021-06-10,9,3,-1,-12.455911768472912,0,-1,-1,0.003032611510352056,1,0.49,0.007902416288994728,1
HSIHKD,2021-06-16,8,2,-1,-12.692562569656214,0,-1,-1,0.002675429142482408,0,0.264,0.0047908857347428715,1
HSIHKD,2021-06-21,8,0,-1,-9.375865634212534,0,-1,-1,0.004211778052033222,1,0.886,0.007929646006768633,1
HSIHKD,2021-06-23,9,2,1,-10.671592579728518,0,1,-1,0.0036056642471360284,1,0.746,0.012918776444475272,1
HSIHKD,2021-06-29,8,1,-1,-15.642510862281673,0,-1,1,0.0023568314834717125,1,0.206,0.009323904794756787,1
HSIHKD,2021-06-30,8,2,-1,-10.755898508504739,0,-1,1,0.0028156852042391417,1,0.48,0.009047483690264075,1
HSIHKD,2021-07-08,8,3,-1,-3.876044883484718,1,-1,-1,0.004964634618702058,1,0.998,0.019966149134311734,1
HSIHKD,2021-07-26,8,0,-1,-4.268270735265297,0,-1,-1,0.00589507197426713,1,0.992,0.01561430769637922,1
HSIHKD,2021-07-29,8,3,1,-6.3433558435237565,0,1,-1,0.007338724999559618,1,0.956,0.01500045628764373,1
HSIHKD,2021-08-10,8,1,1,-7.836490949954736,0,1,-1,0.0049545988115395,1,0.766,0.013826835703324008,1
HSIHKD,2021-08-17,8,1,-1,-5.429357269947205,0,-1,-1,0.004507791798726055,1,0.642,0.011110424089718124,1
HSIHKD,2021-08-19,9,3,-1,-8.706202931097025,0,-1,-1,0.0051139808420180375,1,0.742,0.018756645861086184,1
HSIHKD,2021-08-26,8,3,-1,-9.324034683519708,0,-1,-1,0.0047563773683415075,1,0.628,0.015234070504069674,1
HSIHKD,2021-08-30,8,0,1,-9.210474420193155,0,1,-1,0.004798651492143637,1,0.646,0.013629741034920336,1
HSIHKD,2021-08-31,9,1,1,-6.714719330259038,0,1,-1,0.0053973926153965835,1,0.794,0.016931616185582622,1
HSIHKD,2021-09-06,8,0,1,-8.107992458911434,0,1,1,0.004176758843612689,1,0.466,0.012689256837759033,1
HSIHKD,2021-09-09,8,3,-1,-8.796363021363714,0,-1,1,0.004598288310810383,1,0.64,0.009780377270790565,1
HSIHKD,2021-09-13,8,0,-1,-9.653468682568178,0,-1,1,0.004510289745683015,1,0.638,0.010759077972038936,1
HSIHKD,2021-09-14,9,1,-1,-7.328904665092254,0,-1,-1,0.005082713849568363,1,0.81,0.011623244917532628,1
HSIHKD,2021-09-15,8,2,-1,-6.331033891263073,0,-1,-1,0.005444270756574216,1,0.898,0.012203819321319401,1
HSIHKD,2021-09-29,8,2,1,-7.719781385681507,0,1,-1,0.005765916524266853,1,0.864,0.016991880565741253,1
HSIHKD,2021-09-30,9,3,1,-9.191549513691008,0,1,-1,0.004999930997893665,0,0.68,0.01085230280571731,1
HSIHKD,2021-10-07,9,3,1,-2.418347076698022,0,1,-1,0.005855471542437071,1,0.854,0.011414317338368382,1
HSIHKD,2021-10-11,8,0,1,-9.97880237258633,0,1,1,0.004406974857701235,0,0.518,0.013642586331375158,1
