sym,date,hour,dow,dir,R,win,trend,stack,atr_pct,atr_exp,atr_rank,range_pct,dir_with_trend
JPN225,2022-02-28,9,0,1,-2.4564263859110698,0,1,-1,0.006000057149310478,0,0.5,0.014722104799631215,1
JPN225,2022-03-02,9,2,-1,-7.04003942786947,0,-1,-1,0.004510958479615045,0,0.28688524590163933,0.011823978341523027,1
JPN225,2022-03-10,8,3,1,-1.6136646961445038,0,1,-1,0.004219300361870878,0,0.15503875968992248,0.014664750213658612,1
JPN225,2022-03-16,9,2,1,1.7055386386324214,1,1,-1,0.004998313021624307,1,0.4142857142857143,0.013740495834500953,1
JPN225,2022-03-17,9,3,1,-4.949343483232367,0,1,1,0.005592670516427126,1,0.6166219839142091,0.015811812116002192,1
JPN225,2022-03-23,9,2,1,-6.894258527988826,0,1,1,0.0035575895210949713,1,0.1939655172413793,0.01450460801608285,1
JPN225,2022-03-24,8,3,1,-3.0081907242493906,0,1,1,0.004188837557193463,1,0.3683127572016461,0.014098648421468922,1
JPN225,2022-04-13,8,2,1,-6.017035221341842,0,1,-1,0.004383230409937471,1,0.716,0.019366066703437365,1
JPN225,2022-04-28,8,3,1,-0.9844787133356045,1,1,-1,0.004896015927470268,1,0.874,0.017510433610494935,1
JPN225,2022-05-09,8,0,-1,-6.335834976338189,0,-1,-1,0.005094212421088227,1,0.796,0.016524605707712775,1
JPN225,2022-05-23,9,0,1,-2.807697345761676,0,1,1,0.004736866141086544,0,0.528,0.00859372949748675,1
JPN225,2022-05-24,8,1,-1,-6.73111399797116,0,-1,1,0.003827899274902676,0,0.196,0.010279620633404058,1
JPN225,2022-05-30,8,0,1,-8.722349956792613,0,1,1,0.002708512326830215,0,0.032,0.0052917776723477245,1
JPN225,2022-06-01,9,2,1,-7.674647955521762,0,1,1,0.0031291119847164524,1,0.152,0.010293529261993962,1
JPN225,2022-06-09,8,3,1,-11.912378936010107,0,1,1,0.002776024949494394,1,0.206,0.008461131676361713,1
JPN225,2022-06-13,9,0,-1,-7.77197407233195,0,-1,1,0.004699652031641318,1,0.838,0.0076945951973830945,1
JPN225,2022-06-15,8,2,-1,-9.604055084658183,0,-1,-1,0.0037844573568374786,0,0.546,0.009722380464091756,1
JPN225,2022-06-16,8,3,-1,-2.3982685451441683,1,-1,-1,0.005490869571440749,1,0.968,0.01491635512254069,1
JPN225,2022-06-27,8,0,1,-10.888977204882936,0,1,1,0.0032295485124646155,0,0.388,0.008826371339378624,1
JPN225,2022-06-28,8,1,1,-5.54124060821616,1,1,1,0.00352758937855405,1,0.56,0.010846027133576413,1
JPN225,2022-06-29,9,2,-1,-12.386679936495508,0,-1,1,0.003285890673145306,0,0.432,0.00675219446320054,1
JPN225,2022-06-30,8,3,-1,-9.624999425443711,0,-1,1,0.0037705302455610648,1,0.616,0.014625992478061012,1
JPN225,2022-07-06,9,2,-1,-9.266429975124232,0,-1,-1,0.003983485316008185,0,0.558,0.00979902394036045,1
JPN225,2022-07-07,9,3,1,-9.264504294144475,0,1,-1,0.003924628075042117,1,0.544,0.014634330328518085,1
JPN225,2022-07-18,8,0,1,-14.83970846181255,0,1,1,0.002287076323366388,0,0.004,0.0061193644708224275,1
JPN225,2022-07-20,8,2,1,-12.758074085544319,0,1,1,0.0026420074518904517,1,0.128,0.011023166720878962,1
JPN225,2022-07-21,9,3,1,-10.974262601609988,0,1,1,0.0030997559977575207,1,0.32,0.009172991834238642,1
JPN225,2022-08-01,9,0,1,-12.328394887787908,0,1,1,0.0027092626006610973,0,0.3,0.008319348734245011,1
JPN225,2022-08-17,8,2,1,-13.50574544568935,0,1,1,0.0023525886896335743,1,0.41,0.008768324428003836,1
JPN225,2022-08-23,9,1,-1,-13.352293862341131,0,-1,1,0.002443879303396116,1,0.53,0.006590076120665351,1
JPN225,2022-08-25,8,3,1,-16.825326040035723,0,1,-1,0.0019027847107372436,0,0.064,0.005223305055037509,1
JPN225,2022-09-08,8,3,1,-13.190464828573429,0,1,-1,0.002515649084228072,0,0.506,0.011413896418889999,1
JPN225,2022-09-19,9,0,-1,-15.039127281187866,0,-1,-1,0.0022204008178067407,0,0.16,0.004366335552887239,1
