sym,date,hour,dow,dir,R,win,trend,stack,atr_pct,atr_exp,atr_rank,range_pct,dir_with_trend
NAS100,2022-03-16,8,2,1,3.48,1,1,1,0.0038906835149587027,0,0.5,0.004388563810088141,1
NAS100,2022-03-17,9,3,1,-1.02,0,1,1,0.005142272544246729,0,0.5,0.0067152450350050005,1
NAS100,2022-03-24,8,3,1,-1.02,0,1,1,0.0029687756974361153,0,0.07643312101910828,0.0052108413015065,1
NAS100,2022-03-29,8,1,1,3.48,1,1,1,0.002653887182294225,0,0.030973451327433628,0.0023485908454927043,1
NAS100,2022-04-25,9,0,-1,-1.02,0,-1,-1,0.005215089819247147,0,0.69,0.009396150792150339,1
NAS100,2022-05-12,8,3,-1,-1.02,0,-1,-1,0.007500326059996682,0,0.67,0.012385070741844745,1
NAS100,2022-05-17,8,1,1,3.48,1,1,-1,0.004888769726231053,0,0.144,0.008285222323508559,1
NAS100,2022-05-23,9,0,1,-1.02,0,1,-1,0.006286536750667148,0,0.332,0.009397870924817033,1
NAS100,2022-05-24,8,1,-1,-1.02,0,-1,-1,0.005286015410230209,0,0.112,0.0073269381445482075,1
NAS100,2022-05-30,8,0,1,-1.02,0,1,1,0.0037078561826587248,0,0.018,0.011212292572587407,1
NAS100,2022-06-01,9,2,-1,-1.02,0,-1,1,0.004805811246048076,0,0.17,0.006229482260807657,1
NAS100,2022-06-07,8,1,-1,-1.02,0,-1,1,0.004442579331173874,0,0.15,0.01004289780699996,1
NAS100,2022-06-13,9,0,-1,-1.02,0,-1,-1,0.0054788229880202415,0,0.356,0.0135146804835924,1
NAS100,2022-06-22,8,2,-1,3.48,1,-1,-1,0.003736176087879697,0,0.054,0.011332560327287843,1
NAS100,2022-06-28,9,1,1,-1.02,0,1,1,0.004016589745090555,0,0.168,0.010261386629227402,1
NAS100,2022-06-29,9,2,-1,-1.02,0,-1,1,0.003913739027083823,0,0.12,0.005219408467040402,1
NAS100,2022-06-30,8,3,-1,3.48,1,-1,-1,0.0037636469142629356,0,0.068,0.005666515846853252,1
NAS100,2022-07-07,8,3,1,-1.02,0,1,1,0.004087834769286031,0,0.158,0.006656479601448517,1
NAS100,2022-07-11,9,0,-1,-1.02,0,-1,1,0.0037698629018358618,0,0.122,0.008832781284503053,1
NAS100,2022-07-18,8,0,1,-1.02,0,1,1,0.003070260756260761,0,0.03,0.0065408026410811925,1
NAS100,2022-07-21,8,3,1,-1.02,0,1,1,0.00385697854563852,0,0.26,0.00495506339271385,1
NAS100,2022-08-03,9,2,1,-1.02,0,1,1,0.0034360860106468685,0,0.29,0.006101210588303439,1
NAS100,2022-08-08,8,0,1,3.48,1,1,1,0.0029821110285524577,0,0.184,0.00489039104246521,1
NAS100,2022-08-10,8,2,-1,-1.02,0,-1,1,0.0024353825382566452,0,0.024,0.003807838763029347,1
NAS100,2022-08-11,9,3,1,-1.02,0,1,1,0.0025951646919133314,0,0.072,0.006481808220195754,1
NAS100,2022-08-18,9,3,-1,-1.02,0,-1,1,0.0027438454600776465,0,0.21,0.0045225288939346004,1
NAS100,2022-08-22,9,0,-1,3.48,1,-1,-1,0.0024732244254786814,0,0.09,0.0034370786730217808,1
NAS100,2022-08-23,8,1,-1,-1.02,0,-1,-1,0.002439995987215402,0,0.066,0.0033148528670569532,1
NAS100,2022-08-25,9,3,1,-1.02,0,1,-1,0.0023459715644266435,0,0.048,0.004637881139922191,1
NAS100,2022-09-08,9,3,1,-1.02,0,1,-1,0.0027657608912143466,0,0.108,0.003653190452995616,1
NAS100,2022-09-13,9,1,1,-1.02,0,1,1,0.002490191036432272,0,0.07,0.0033783127851664888,1
