sym,date,hour,dow,dir,R,win,trend,stack,atr_pct,atr_exp,atr_rank,range_pct,dir_with_trend
NGCUSD,2022-03-09,8,2,-1,-3.734417057046539,0,-1,-1,0.012382957412068128,0,0.5,0.014425813230594123,1
NGCUSD,2022-03-16,8,2,1,0.6181543332213271,1,1,-1,0.006676818839025811,0,0.0273972602739726,0.011654263963732784,1
NGCUSD,2022-03-21,8,0,1,-3.797552855040144,0,1,1,0.005407513849006532,0,0.023255813953488372,0.013244766505636132,1
NGCUSD,2022-03-22,9,1,1,-3.182221594677239,0,1,1,0.0069517408570898345,0,0.13389121338912133,0.007957666828243769,1
NGCUSD,2022-03-24,8,3,1,1.419448010584703,1,1,1,0.0070598974192591655,0,0.1936619718309859,0.007679776588317447,1
NGCUSD,2022-04-05,9,1,1,-3.8336151523469666,0,1,1,0.007323969375380708,0,0.35394456289978676,0.016504254735108515,1
NGCUSD,2022-04-13,9,2,1,-3.167362770097974,0,1,1,0.00843621048582583,0,0.604,0.00954383453376878,1
NGCUSD,2022-04-27,8,2,1,-2.8001768691857127,0,1,1,0.00997485214429296,0,0.486,0.01185827495118873,1
NGCUSD,2022-04-28,9,3,1,-2.4651064061839647,0,1,1,0.008207197703045824,0,0.31,0.012365202928385435,1
NGCUSD,2022-05-04,8,2,1,-2.626978879706152,0,1,1,0.00998677246381625,0,0.47,0.01800836649321492,1
NGCUSD,2022-05-26,9,3,1,-2.199468349078123,0,1,1,0.00928239514929356,0,0.232,0.014543067285331102,1
NGCUSD,2022-06-14,8,1,-1,-10.942356970279844,0,-1,-1,0.010875382495638198,0,0.372,0.015986019563228673,1
NGCUSD,2022-06-28,8,1,1,-6.427997169143666,1,1,-1,0.008768619510736972,0,0.04,0.010877257761777216,1
NGCUSD,2022-06-29,8,2,1,-13.546158001751287,0,1,-1,0.009236140534836552,0,0.084,0.012481633743451266,1
