sym,date,hour,dow,dir,R,win,trend,stack,atr_pct,atr_exp,atr_rank,range_pct,dir_with_trend
SP500,2022-03-01,9,1,1,-1.380089984983828,0,1,1,0.0038934675266615437,0,0.17,0.00512149319979514,1
SP500,2022-03-02,9,2,-1,-1.409854943402397,0,-1,1,0.004254183621510378,0,0.17886178861788618,0.0056582069667110765,1
SP500,2022-03-03,8,3,1,-1.6303534835209863,0,1,1,0.002933879933708574,0,0.08275862068965517,0.0043823603734454005,1
SP500,2022-03-08,8,1,-1,-1.31709646196211,0,-1,-1,0.0046110221722816475,0,0.19158878504672897,0.011213021015719816,1
SP500,2022-03-16,8,2,1,3.0607862338757004,1,1,-1,0.0032004543559055786,0,0.06818181818181818,0.0043061438692506915,1
SP500,2022-03-24,9,3,1,-1.6345502169951698,0,1,1,0.0020777212124425907,0,0.020366598778004074,0.00368921185019564,1
SP500,2022-03-29,8,1,1,-1.6235746960670345,0,1,1,0.002068143898513189,0,0.032,0.0020174570009029486,1
SP500,2022-04-21,8,3,1,-1.5667038895227727,0,1,1,0.002334138748099444,0,0.252,0.002565109162123821,1
SP500,2022-04-25,9,0,-1,-1.3459230456845295,0,-1,-1,0.004138273295272424,1,0.908,0.008686259401250822,1
SP500,2022-05-05,8,3,1,-1.4596984927592391,0,1,-1,0.003475935509252253,0,0.45,0.002731668759008695,1
SP500,2022-05-12,8,3,-1,-1.2897578244790386,0,-1,-1,0.005791228573953734,0,0.732,0.008547313847158719,1
SP500,2022-05-17,8,1,1,3.09358563373124,1,1,-1,0.0036768627493462833,0,0.21,0.005773629042471561,1
SP500,2022-05-23,9,0,1,-1.3243350986554687,0,1,-1,0.0047626923410058475,0,0.354,0.0066861150326068776,1
SP500,2022-05-24,8,1,-1,-1.3870964871960432,0,-1,-1,0.003956025295664073,0,0.13,0.00525832844799024,1
SP500,2022-05-30,8,0,1,-1.4389284691058377,0,1,1,0.0032634500169361163,0,0.068,0.0024382081560454963,1
SP500,2022-06-07,8,1,-1,-1.6435376185051092,0,-1,1,0.0033533651599978896,0,0.148,0.007291233392870184,1
SP500,2022-06-13,8,0,-1,3.152970542996297,1,-1,-1,0.006820004353150829,1,0.9,0.004169055187868049,1
SP500,2022-06-15,8,2,-1,-1.4007394356924348,0,-1,-1,0.0045093710667614565,0,0.426,0.005460068237483575,1
SP500,2022-06-16,9,3,-1,3.169622686720025,1,-1,-1,0.005485956130103386,0,0.694,0.008957682762420153,1
SP500,2022-06-22,8,2,-1,-1.5577116927131032,0,-1,-1,0.0032036358257145677,0,0.12,0.01010663032580453,1
SP500,2022-06-28,9,1,1,-1.5375490533413247,0,1,1,0.003181793996186715,0,0.156,0.008137485236459017,1
SP500,2022-06-29,9,2,-1,-1.561178297777587,0,-1,1,0.0031013633441359227,0,0.114,0.003668570829621089,1
SP500,2022-06-30,8,3,-1,2.484880166304886,1,-1,1,0.0030161562821926628,0,0.084,0.004768553889928053,1
SP500,2022-07-07,8,3,1,-1.5604873952565237,0,1,1,0.003429412771025761,0,0.19,0.0057725660738785385,1
SP500,2022-07-11,9,0,-1,-1.7582736249706625,0,-1,1,0.0029982432234847674,0,0.104,0.007299836918536879,1
SP500,2022-07-18,8,0,1,-1.7571306314875668,0,1,-1,0.0024973153941816083,0,0.026,0.004351520457295784,1
SP500,2022-07-21,8,3,1,-2.000994961538112,0,1,1,0.0029437725184185827,0,0.17,0.004365049327580597,1
SP500,2022-08-03,9,2,1,-1.6251788967593592,0,1,1,0.0025884151239420005,0,0.236,0.004992815217126464,1
SP500,2022-08-08,8,0,1,2.7932390898894526,1,1,1,0.0022592408199982846,0,0.12,0.0031834844684545194,1
SP500,2022-08-10,8,2,-1,-2.4359308242366935,0,-1,1,0.0017127005325808823,0,0.016,0.002452289612975371,1
SP500,2022-08-11,9,3,1,-1.02,0,1,1,0.001921516316528336,0,0.052,0.004262110312886254,1
SP500,2022-08-17,8,2,1,-1.8825179684286617,0,1,1,0.0019218846537162311,0,0.122,0.002110095997773838,1
SP500,2022-08-18,9,3,-1,-1.9655334306009355,0,-1,1,0.002125929903576541,0,0.242,0.0027923784494088004,1
