sym,date,hour,dow,dir,R,win,trend,stack,atr_pct,atr_exp,atr_rank,range_pct,dir_with_trend
UK100,2022-01-20,8,3,1,-1.02,0,1,1,0.0020949908671076185,0,0.5,0.007798621846097381,1
UK100,2022-01-31,9,0,1,-1.02,0,1,1,0.003518590901114822,0,0.3271604938271605,0.0073444087406154815,1
UK100,2022-02-03,9,3,1,-1.02,0,1,1,0.0020256261467560643,0,0.03070175438596491,0.005033691667642245,1
UK100,2022-02-10,8,3,1,-1.02,0,1,1,0.001528976446112301,0,0.002967359050445104,0.00303728105939525,1
UK100,2022-02-21,9,0,1,-1.02,0,1,-1,0.003154233688564915,1,0.5182926829268293,0.009299841212549,1
UK100,2022-02-22,9,1,-1,-1.02,0,-1,-1,0.003857463255719995,1,0.726,0.010921592463151497,1
UK100,2022-03-01,9,1,1,-1.02,0,1,-1,0.004045703506252402,0,0.692,0.00910821280645548,1
UK100,2022-03-03,8,3,1,-1.02,0,1,-1,0.0030931852928848744,0,0.41,0.0048133821448430834,1
UK100,2022-03-08,8,1,-1,-1.02,0,-1,-1,0.006109599871618812,0,0.794,0.010934149359748872,1
UK100,2022-03-09,9,2,1,-1.02,0,1,-1,0.006675901083532101,0,0.8,0.011010323412382228,1
UK100,2022-03-16,8,2,1,3.48,1,1,1,0.0035481040402338695,0,0.192,0.006091878095966091,1
UK100,2022-03-23,9,2,1,-1.02,0,1,1,0.0017917670271509457,0,0.002,0.0040297181727505585,1
UK100,2022-03-24,8,3,1,-1.02,0,1,1,0.0021460561858153643,0,0.024,0.005033905226023732,1
UK100,2022-03-29,8,1,1,-1.02,0,1,1,0.0017299813542088632,0,0.002,0.0035301263588528153,1
UK100,2022-04-13,9,2,1,-1.02,0,1,1,0.0020866518775350213,0,0.112,0.00411808791939579,1
UK100,2022-04-21,8,3,1,-1.02,0,1,1,0.001698505267599491,0,0.014,0.002224170188269465,1
UK100,2022-04-25,9,0,-1,-1.02,0,-1,-1,0.0027809444194965434,1,0.788,0.009580951608761995,1
UK100,2022-04-28,9,3,1,-1.02,0,1,-1,0.002628771147250659,0,0.58,0.0044542506047825945,1
UK100,2022-05-05,9,3,1,-1.02,0,1,1,0.002375580409710505,0,0.3,0.0044945328581280156,1
