sym,date,hour,dow,dir,R,win,trend,stack,atr_pct,atr_exp,atr_rank,range_pct,dir_with_trend
USDCAD,2022-05-30,8,0,-1,3.472124185837711,1,-1,-1,0.0009067205710515323,0,0.5,0.0021658488946293313,1
USDCAD,2022-06-02,8,3,1,-1.0357736170481253,0,1,-1,0.0010398031602169152,0,0.5,0.0018139659605343854,1
USDCAD,2022-06-06,8,0,-1,1.1092695534612793,0,-1,-1,0.0009042504170365431,0,0.125,0.001805240765040355,1
USDCAD,2022-06-07,8,1,1,-1.0358672230772892,0,1,-1,0.001180613096144512,1,0.6842105263157895,0.0027370959808323573,1
USDCAD,2022-06-09,9,3,1,-1.0359081147293234,0,1,-1,0.0009523326909807049,0,0.24378109452736318,0.0017419385628610238,1
USDCAD,2022-06-13,9,0,1,-1.035596122803871,0,1,1,0.0011568851047132405,0,0.5783132530120482,0.0036884830431154043,1
USDCAD,2022-06-16,9,3,1,3.4737807380987986,1,1,1,0.0017792633613749258,1,0.9127725856697819,0.0027118118777360698,1
USDCAD,2022-06-21,9,1,-1,-1.0277295880902506,0,-1,1,0.0009895488940151968,0,0.21882951653944022,0.0036174472262373272,1
USDCAD,2022-06-28,9,1,-1,-1.0277853728415054,0,-1,-1,0.000993751668011464,0,0.142,0.0018139918720707093,1
USDCAD,2022-07-04,9,0,-1,-1.027770490784198,0,-1,-1,0.0012537583434815867,0,0.364,0.0022689833089858218,1
USDCAD,2022-07-05,8,1,-1,-1.0277855546818433,0,-1,-1,0.0010386365725373351,0,0.12,0.0018062486861877252,1
USDCAD,2022-07-06,8,2,1,-1.0276619545646095,0,1,1,0.001373663971560928,0,0.516,0.002589740642837941,1
USDCAD,2022-07-11,9,0,1,3.472303607299259,1,1,1,0.0012639250169326872,0,0.26,0.003155521007303871,1
USDCAD,2022-07-14,9,3,1,-1.0275008587476944,0,1,1,0.0014654959141562204,0,0.516,0.002888996457906098,1
USDCAD,2022-07-18,9,0,-1,3.4722972046555696,1,-1,1,0.0012561003794281204,0,0.27,0.0029347650262280885,1
USDCAD,2022-07-19,8,1,-1,3.4722857363264676,1,-1,-1,0.0011652236987423942,0,0.128,0.0018977088636890603,1
USDCAD,2022-07-27,8,2,-1,-1.0277772592938248,0,-1,-1,0.0009551676639284421,0,0.01,0.0022787369730905872,1
USDCAD,2022-07-28,9,3,-1,-1.0278057309676765,0,-1,-1,0.0012240510424106797,0,0.182,0.0018577639703070375,1
USDCAD,2022-08-02,8,1,1,-1.0277727255061988,0,1,-1,0.0011279226779059284,0,0.126,0.0023395903773659626,1
USDCAD,2022-08-11,9,3,-1,0.9983857802009528,0,-1,-1,0.0009011890737896433,0,0.058,0.0016842534057169626,1
USDCAD,2022-08-15,8,0,1,3.4721883543987375,1,1,-1,0.0008547445052359453,0,0.048,0.002187260768353394,1
USDCAD,2022-08-17,8,2,-1,-1.0277941107699022,0,-1,1,0.001096834153406271,0,0.31,0.0018160278093871827,1
USDCAD,2022-08-18,9,3,1,-1.0277334137608365,0,1,1,0.0009255613844930918,0,0.122,0.001716817854905605,1
