sym,date,hour,dow,dir,R,win,trend,stack,atr_pct,atr_exp,atr_rank,range_pct,dir_with_trend
USDCHF,2022-06-07,8,1,1,3.449152305351047,1,1,1,0.0011314457991361596,0,0.1213235294117647,0.002539793526097121,1
USDCHF,2022-06-13,9,0,1,-1.0401787840264747,0,1,1,0.001275392876490755,0,0.2791327913279133,0.0031378009161167402,1
USDCHF,2022-06-20,9,0,-1,-1.028021914728512,0,-1,-1,0.0018433246751032252,0,0.6359918200408998,0.005334742119601798,1
USDCHF,2022-06-22,8,2,1,-1.0292844658740892,0,1,-1,0.0015900755461080887,0,0.42,0.004337185166826711,1
USDCHF,2022-07-11,9,0,1,-1.0302052271173294,0,1,1,0.001269519918487685,0,0.112,0.0035310085825960244,1
USDCHF,2022-07-14,9,3,1,3.4698246792230125,1,1,1,0.0013889189892876993,0,0.216,0.004599244991198315,1
USDCHF,2022-07-19,8,1,-1,3.46975399338108,1,-1,1,0.0011906602310882818,0,0.086,0.0022233834363057053,1
USDCHF,2022-07-26,9,1,1,-1.02,0,1,-1,0.0009764166522258548,0,0.028,0.0025378081624196727,1
USDCHF,2022-08-04,9,3,1,-1.0303968476757848,0,1,-1,0.0010442465743434415,0,0.028,0.001777860952559173,1
USDCHF,2022-08-10,9,2,-1,3.4695042874985567,1,-1,-1,0.0007151006698537862,0,0.002,0.0014379126126976944,1
USDCHF,2022-08-11,9,3,-1,3.4693751527321797,1,-1,-1,0.001160169322784958,0,0.112,0.0026562118169550747,1
USDCHF,2022-08-17,9,2,1,-1.0305218855218856,0,1,-1,0.0009452993662169631,0,0.03,0.001936026936027003,1
USDCHF,2022-08-18,8,3,1,-1.0304996797597674,0,1,1,0.001140801418782028,0,0.15,0.0025724215411430614,1
USDCHF,2022-08-22,9,0,1,-1.0304171007125298,0,1,1,0.0009531506794127289,0,0.044,0.0017084045168549583,1
USDCHF,2022-08-24,9,2,1,-1.0303515382385822,0,1,1,0.0012213091595560802,0,0.25,0.0027224545567471545,1
USDCHF,2022-08-25,9,3,-1,-1.030255446482346,0,-1,1,0.001444903418960424,0,0.472,0.004730123087159072,1
USDCHF,2022-09-08,9,3,-1,-1.0302609355921073,0,-1,1,0.0013832538751969506,0,0.388,0.0022574058302636964,1
USDCHF,2022-09-12,9,0,-1,3.470302925030548,1,-1,-1,0.0015349652958474703,0,0.466,0.0032901952182496016,1
USDCHF,2022-09-13,8,1,-1,-1.030513257217351,0,-1,-1,0.0011496483809570776,0,0.106,0.0021447044723396642,1
USDCHF,2022-09-15,8,3,1,-1.0303763502225727,0,1,-1,0.0011523379222913592,0,0.082,0.0019403774916210217,1
USDCHF,2022-09-19,8,0,1,-1.030347146774277,0,1,-1,0.0013407794499902524,0,0.21,0.003911221480676709,1
USDCHF,2022-09-20,8,1,1,-1.030351752551707,0,1,-1,0.0012061576643360586,0,0.102,0.0031365810231671985,1
USDCHF,2022-09-21,8,2,1,-1.0303596883805735,0,1,-1,0.0011146206483367306,0,0.042,0.0019269020387867601,1
USDCHF,2022-09-26,9,0,1,-1.0269273485877244,0,1,1,0.002095198053754719,0,0.762,0.0061553126330947125,1
USDCHF,2022-09-28,9,2,1,-1.0298558717851984,0,1,1,0.0014567459995015078,0,0.208,0.005685756476840084,1
USDCHF,2022-10-03,9,0,1,-1.0267620547227128,0,1,1,0.002147133641540464,0,0.628,0.00346041767848468,1
USDCHF,2022-10-06,9,3,-1,-1.0294233396670305,0,-1,1,0.001546237112877546,0,0.172,0.003574200400310505,1
USDCHF,2022-10-12,9,2,-1,-1.0281411676222483,0,-1,1,0.0017624165612449363,1,0.346,0.0036893321002050253,1
USDCHF,2022-10-13,9,3,1,-1.030014320478284,0,1,1,0.001188062558034374,0,0.048,0.0021230359413962076,1
USDCHF,2022-10-25,9,1,1,-1.0299851221679697,0,1,1,0.0013170838474268363,0,0.068,0.0028457598178713906,1
USDCHF,2022-10-26,8,2,-1,3.469938018192063,1,-1,-1,0.001327178076378424,0,0.072,0.002062706270627059,1
USDCHF,2022-10-31,9,0,1,3.469985077765871,1,1,-1,0.0012727584143398527,0,0.052,0.00242361118065916,1
USDCHF,2022-11-01,9,1,-1,-1.02991913658684,0,-1,1,0.0014435810628758215,0,0.164,0.003118763726070203,1
USDCHF,2022-11-03,8,3,1,3.4719073729199037,1,1,1,0.0017607325592237386,0,0.442,0.0036448011790832196,1
USDCHF,2022-11-15,9,1,-1,-1.0296894860464634,0,-1,-1,0.0015617971410392792,0,0.148,0.002996206929525318,1
USDCHF,2022-11-16,9,2,-1,-1.0261356121860772,0,-1,-1,0.002468933197265633,0,0.682,0.004371213648371949,1
