sym,date,hour,dow,dir,R,win,trend,stack,atr_pct,atr_exp,atr_rank,range_pct,dir_with_trend
USDJPY,2022-06-01,8,2,1,3.4722641932713953,1,1,1,0.001373432570798823,0,0.23295454545454544,0.0048890298524779845,1
USDJPY,2022-06-07,9,1,1,-1.0320313090072546,0,1,1,0.0017869822427708441,1,0.8681318681318682,0.008332518631601935,1
USDJPY,2022-06-28,9,1,1,3.472626347534988,1,1,1,0.0012101835845454321,0,0.092,0.0035393531832059034,1
USDJPY,2022-07-06,9,2,-1,-1.0259131372142676,0,-1,1,0.0017866251216620253,1,0.348,0.005565794050817337,1
USDJPY,2022-07-12,8,1,1,-1.0272750552904202,0,1,1,0.0012432010568159948,0,0.074,0.003033698056105238,1
USDJPY,2022-07-14,8,3,1,3.474064360913664,1,1,1,0.0017410709010875468,1,0.462,0.0073781805305642755,1
USDJPY,2022-07-19,9,1,-1,3.4727488942063665,1,-1,1,0.0012404295494984454,0,0.114,0.003313755347690477,1
USDJPY,2022-08-04,9,3,1,-1.0251402725399363,0,1,-1,0.0020730361728239642,0,0.666,0.005402907882283636,1
USDJPY,2022-08-09,9,1,1,-1.0272607425993476,0,1,1,0.0014573309846595095,0,0.268,0.0028208013741226655,1
USDJPY,2022-08-17,9,2,1,3.4725647793598275,1,1,1,0.0011725752172065279,0,0.074,0.003925796498011227,1
USDJPY,2022-08-18,8,3,1,-1.026994059876266,0,1,1,0.0015122379926240167,0,0.238,0.003320784858995953,1
USDJPY,2022-08-25,9,3,-1,-1.026453317763878,0,-1,1,0.0016194808301416186,0,0.272,0.004475928150731019,1
USDJPY,2022-08-29,8,0,1,-1.0248083340846497,0,1,1,0.002139495606943534,1,0.69,0.009542863722724346,1
USDJPY,2022-09-06,8,1,1,3.4729104662786328,1,1,1,0.0011809982469170356,0,0.096,0.0050690166107775336,1
USDJPY,2022-09-12,9,0,1,-1.0241612764732886,0,1,1,0.002396735852407305,0,0.88,0.00802549191872715,1
USDJPY,2022-09-13,9,1,-1,-1.0259094799200146,0,-1,1,0.0016977121573953364,0,0.506,0.0036432434713499036,1
USDJPY,2022-09-15,8,3,1,-1.0249847709221498,0,1,1,0.0019972206128618555,0,0.67,0.005410524410030117,1
USDJPY,2022-09-19,8,0,1,0.7828371566999476,0,1,1,0.0013322839808643202,0,0.134,0.004111922480836617,1
USDJPY,2022-09-22,9,3,1,-1.0228960982073265,0,1,1,0.00340358323811348,1,0.978,0.01278354479046517,1
USDJPY,2022-09-26,8,0,1,-1.0245872365842208,0,1,1,0.002160155223147291,0,0.644,0.006642260864741925,1
USDJPY,2022-09-29,8,3,1,-1.0269142904555135,0,1,1,0.001314638483100186,0,0.146,0.0035539452941339856,1
