sym,date,hour,dow,dir,R,win,trend,stack,atr_pct,atr_exp,atr_rank,range_pct,dir_with_trend
XAUUSD,2022-03-28,8,0,-1,3.4586474170513273,1,-1,1,0.0027543669120534686,0,0.5555555555555556,0.008918588894785353,1
XAUUSD,2022-03-31,8,3,-1,-1.0773777451637079,0,-1,-1,0.00233273385048395,0,0.16336633663366337,0.007245584152433382,1
XAUUSD,2022-04-13,8,2,1,-1.0477536332719615,0,1,1,0.0023536754120783657,0,0.29584352078239606,0.004753482762290443,1
XAUUSD,2022-04-18,9,0,1,-1.0432497374378413,0,1,1,0.0024762704108408484,0,0.3881578947368421,0.00907075085101139,1
XAUUSD,2022-04-20,9,2,-1,-1.0432106539876829,0,-1,1,0.0025351253584760067,0,0.392,0.005634049660049827,1
XAUUSD,2022-04-21,8,3,-1,-1.0614256163874034,0,-1,-1,0.0017674847599211973,0,0.01,0.0036002769443803278,1
XAUUSD,2022-04-25,8,0,-1,-1.0405124810796411,0,-1,-1,0.002907482121741831,1,0.632,0.009659212539224235,1
XAUUSD,2022-04-28,8,3,-1,-1.0470162561958936,0,-1,-1,0.0022522333416111345,0,0.142,0.005931963789415228,1
XAUUSD,2022-05-02,8,0,-1,-1.0414081192401057,0,-1,-1,0.002831201450395174,0,0.546,0.00849762066621346,1
XAUUSD,2022-05-09,8,0,-1,3.4543759960806897,1,-1,-1,0.0023803088374908686,0,0.206,0.006793347646361408,1
XAUUSD,2022-05-12,8,3,-1,-1.0437770233675323,0,-1,-1,0.002596681349432642,0,0.266,0.004662660312755184,1
XAUUSD,2022-05-16,8,0,-1,3.434237651142048,1,-1,-1,0.0025902646515245896,0,0.208,0.0056673529476876814,1
XAUUSD,2022-05-17,9,1,1,-1.044203455096101,0,1,-1,0.002582518061003495,0,0.202,0.0040814988443949205,1
XAUUSD,2022-05-19,9,3,-1,-1.0543886757572007,0,-1,-1,0.0018322195789912698,0,0.002,0.0020844591986413515,1
XAUUSD,2022-05-26,8,3,-1,-1.0234753644128798,0,-1,1,0.0022278282228486426,1,0.108,0.0054511726801328795,1
XAUUSD,2022-05-30,8,0,1,-1.0239652699517539,0,1,1,0.0019358475790357532,0,0.056,0.007452589076695147,1
XAUUSD,2022-06-01,8,2,-1,-1.0239397579143876,0,-1,-1,0.001977670237320006,0,0.11,0.0036207941717775255,1
XAUUSD,2022-06-02,9,3,1,3.48,1,1,-1,0.001791708184984386,0,0.038,0.002641915145359414,1
XAUUSD,2022-06-09,9,3,-1,-1.02,0,-1,1,0.0016081664843606964,0,0.042,0.002437627016041851,1
XAUUSD,2022-06-21,8,1,-1,-1.0771877602327151,0,-1,-1,0.0014945044601466205,0,0.018,0.002854139319037223,1
XAUUSD,2022-06-22,8,2,-1,-1.061817789404403,0,-1,-1,0.002058256051103628,0,0.378,0.0044166077602976255,1
