sym,date,hour,dow,dir,R,win,trend,stack,atr_pct,atr_exp,atr_rank,range_pct,dir_with_trend
XBRUSD,2021-12-07,8,1,1,-1.02,0,1,1,0.0027448850262539125,0,0.5,0.006216216216216132,1
XBRUSD,2021-12-20,8,0,-1,-1.02,0,-1,-1,0.006565008354249201,1,0.5323383084577115,0.014776245426400185,1
XBRUSD,2021-12-28,9,1,1,-1.02,0,1,1,0.004248569671752066,0,0.13738019169329074,0.0073678861788619475,1
XBRUSD,2022-01-18,9,1,1,-1.02,0,1,1,0.003796768232252159,0,0.146,0.012649572649572643,1
XBRUSD,2022-01-20,8,3,1,-1.02,0,1,1,0.005247664430190367,0,0.67,0.013001695873374852,1
XBRUSD,2022-01-26,9,2,1,-1.02,0,1,1,0.003950534450221535,0,0.156,0.004814305364511549,1
XBRUSD,2022-02-09,9,2,-1,-1.02,0,-1,1,0.004721973973919469,0,0.338,0.005509641873278237,1
XBRUSD,2022-02-10,9,3,-1,-1.02,0,-1,1,0.0044988419146106936,0,0.262,0.00702139330773451,1
XBRUSD,2022-03-01,8,1,1,3.48,1,1,1,0.006792338833211619,0,0.58,0.013729053099131833,1
XBRUSD,2022-03-28,9,0,-1,-1.02,0,-1,1,0.011838659158291942,0,0.352,0.017773038300897537,1
XBRUSD,2022-04-06,9,2,1,-1.02,0,1,-1,0.008320107328120422,0,0.028,0.0182869938421348,1
XBRUSD,2022-04-12,9,1,1,-1.02,0,1,-1,0.007730906333143563,0,0.014,0.018641546851759994,1
XBRUSD,2022-05-12,8,3,-1,-1.02,0,-1,-1,0.007784894077877296,0,0.248,0.018472906403940913,1
XBRUSD,2022-05-24,8,1,-1,-1.02,0,-1,1,0.005373735241282983,0,0.004,0.011331444759206881,1
XBRUSD,2022-05-31,9,1,1,-1.02,0,1,1,0.00508717078573978,1,0.126,0.017094729819879896,1
XBRUSD,2022-06-01,8,2,-1,-1.02,0,-1,1,0.00655385131330606,1,0.29,0.009080688402663644,1
XBRUSD,2022-06-14,8,1,1,3.48,1,1,1,0.00658735205794275,0,0.5,0.007901596611274021,1
XBRUSD,2022-06-28,9,1,1,-1.02,0,1,-1,0.005825849389794666,0,0.214,0.01410199556541023,1
XBRUSD,2022-07-04,8,0,1,-1.02,0,1,-1,0.00793310091321198,0,0.408,0.012504465880671592,1
XBRUSD,2022-07-12,8,1,-1,3.48,1,-1,-1,0.010590688323555164,0,0.526,0.012558272286176456,1
XBRUSD,2022-08-09,9,1,1,-1.02,0,1,-1,0.005549843111622777,0,0.004,0.007850428674723738,1
XBRUSD,2022-08-10,8,2,-1,-1.02,0,-1,-1,0.005342296425881633,0,0.002,0.006889352818371572,1
XBRUSD,2022-08-11,8,3,1,-1.02,0,1,-1,0.005549918208959641,0,0.014,0.00605625128310412,1
XBRUSD,2022-08-24,9,2,1,3.48,1,1,1,0.004193782281983915,0,0.006,0.005583250249252125,1
XBRUSD,2022-09-05,9,0,1,0.9031091996223596,0,1,-1,0.008039901929238612,0,0.476,0.013951536767019808,1
XBRUSD,2022-09-07,8,2,-1,-1.02,0,-1,-1,0.00648972332318254,0,0.162,0.018410958904109664,1
XBRUSD,2022-09-14,9,2,-1,-1.02,0,-1,-1,0.008153527623021127,0,0.482,0.013545730385782401,1
XBRUSD,2022-09-19,9,0,-1,3.48,1,-1,-1,0.007160363552963395,0,0.24,0.01683724001320569,1
XBRUSD,2022-09-26,8,0,-1,-1.02,0,-1,-1,0.007297531942218899,0,0.13,0.017456359102244377,1
