sym,date,hour,dow,dir,R,win,trend,stack,atr_pct,atr_exp,atr_rank,range_pct,dir_with_trend
XPDUSD,2022-04-05,9,1,1,-3.818080574452862,0,1,-1,0.0061098367311101685,0,0.004282655246252677,0.013535205492597818,1
XPDUSD,2022-04-20,9,2,1,-3.357437797287021,0,1,1,0.005896562954420511,0,0.044,0.019180379852465144,1
XPDUSD,2022-04-21,9,3,1,-2.9892703244626264,0,1,1,0.00684670953787032,0,0.116,0.01224288313574474,1
XPDUSD,2022-05-23,9,0,1,0.9481511078093785,1,1,-1,0.009743337372996538,0,0.262,0.01130899197879751,1
XPDUSD,2022-05-26,8,3,-1,-4.068855027467677,0,-1,-1,0.005368494857722882,0,0.004,0.008445504114605436,1
XPDUSD,2022-05-30,9,0,1,-3.6730770510439554,0,1,1,0.004973028581917157,0,0.02,0.017388653093225088,1
XPDUSD,2022-06-28,9,1,1,-3.877015978836836,0,1,1,0.00486634444853038,0,0.014,0.016655651024454727,1
XPDUSD,2022-07-14,9,3,-1,-4.03910234508464,0,-1,1,0.0074905592188236935,0,0.344,0.012294869803799761,1
XPDUSD,2022-07-21,8,3,1,-2.171116389968456,0,1,-1,0.0057360375164436095,0,0.014,0.012618920363442077,1
XPDUSD,2022-07-26,9,1,1,-2.9545736250894628,0,1,1,0.005418811174765056,0,0.048,0.01912652396648265,1
XPDUSD,2022-07-28,9,3,1,-2.5286799301008385,0,1,1,0.006571067668327702,0,0.21,0.018589525797214086,1
XPDUSD,2022-08-16,9,1,-1,-2.6224377657493263,0,-1,1,0.005586156537594886,0,0.082,0.011967651932527893,1
XPDUSD,2022-09-06,8,1,1,-3.061636783640808,0,1,-1,0.005379638386629049,0,0.064,0.01940998310909186,1
XPDUSD,2022-09-19,9,0,-1,-2.549189180037003,0,-1,1,0.005691642643623845,0,0.05,0.01340675125688293,1
XPDUSD,2022-09-22,9,3,-1,2.3186035029975316,1,-1,1,0.008231910069652662,0,0.398,0.011077935817561982,1
XPDUSD,2022-10-04,8,1,1,-2.4755099213135074,0,1,1,0.006320160885671477,0,0.108,0.018907184114094176,1
XPDUSD,2022-11-17,8,3,-1,-3.006865677573597,0,-1,1,0.006843218287341796,0,0.14,0.018635995336060453,1
XPDUSD,2022-12-29,8,3,1,-2.944002087402293,0,1,1,0.006567703953428956,0,0.07,0.0183410313475066,1
XPDUSD,2023-01-05,9,3,1,-2.710872409911165,0,1,-1,0.008551934540925503,0,0.348,0.01455688442547127,1
